"Timestamp","1.What is your age?","2.Does anti-virus protect your computer from all the Attacks? ","3.Does firewall/Windows  Security protect your computer from all the Attacks?","4.Anti-virus is also a virus?","5.Do you turned on the windows/MAC Security in your computer  ","6.What is the Name of your Anti-virus?","7.Everybody is trying to protect their Data from the Hackers?"
"2020/08/08 3:53:40 PM GMT+5","18-24","Never","Never","May Be","Never","Nothing","Yes"
"2020/08/08 3:54:31 PM GMT+5","18-24","Often","Often","May Be","Never","I have no anti virus 😂😂","Yes"
"2020/08/08 3:55:09 PM GMT+5","18-24","Often","Often","May Be","Often","Avast","Yes"
"2020/08/08 3:55:48 PM GMT+5","18-24","Often","Often","May Be","Always","Windows Defender","Yes"
"2020/08/08 3:56:49 PM GMT+5","18-24","Often","Often","No","Always","Windows Defender","No"
"2020/08/08 3:57:17 PM GMT+5","18-24","Always","Often","No","Always","Avast","Yes"
"2020/08/08 3:57:34 PM GMT+5","18-24","Often","Often","No","Often","Avast","Yes"
"2020/08/08 3:58:19 PM GMT+5","18-24","Often","Often","Yes","Always","Windows defender 😂","Yes"
"2020/08/08 3:58:47 PM GMT+5","18-24","Often","Often","Yes","Always","Avast","Yes"
"2020/08/08 3:59:15 PM GMT+5","18-24","Never","Always","May Be","Always","Windows defender","Yes"
"2020/08/08 4:01:22 PM GMT+5","18-24","Always","Often","No","Often","McAfee","Yes"
"2020/08/08 4:01:25 PM GMT+5","18-24","Often","Never","May Be","Often","McAfee","Yes"
"2020/08/08 4:04:07 PM GMT+5","18-24","Often","Often","May Be","Always","Avast","Yes"
"2020/08/08 4:05:49 PM GMT+5","18-24","Never","Never","Yes","Always","McAfee","Yes"
"2020/08/08 4:06:54 PM GMT+5","18-24","Often","Often","No","Always","Windows Defender","Yes"
"2020/08/08 4:07:50 PM GMT+5","18-24","Often","Often","Yes","Often","SMADAV","Yes"
"2020/08/08 4:12:19 PM GMT+5","18-24","Never","Often","May Be","Often","Avast","No"
"2020/08/08 4:12:24 PM GMT+5","18-24","Often","Never","No","Always","Avast","Yes"
"2020/08/08 4:15:02 PM GMT+5","18-24","Often","Never","No","Often","Kespersky","Yes"
"2020/08/08 4:16:55 PM GMT+5","18-24","Often","Never","Yes","Always","Avast","Yes"
"2020/08/08 4:25:44 PM GMT+5","18-24","Often","Often","No","Always","Using Windows 10 Defender, that's all","Yes"
"2020/08/08 4:31:36 PM GMT+5","18-24","Often","Often","May Be","Often","Avast","Yes"
"2020/08/08 4:42:53 PM GMT+5","18-24","Often","Often","No","Often","avast(subscribed)","Yes"
"2020/08/08 5:01:40 PM GMT+5","18-24","Often","Never","Yes","Never","Avast","Yes"
"2020/08/08 5:05:56 PM GMT+5","18-24","Often","Often","Yes","Always","No one","Yes"
"2020/08/08 5:20:17 PM GMT+5","18-24","Often","Never","May Be","Never","Avast","Yes"
"2020/08/08 5:36:05 PM GMT+5","18-24","Often","Always","No","Never","Windows Defender","Yes"
"2020/08/08 5:38:21 PM GMT+5","18-24","Often","Often","May Be","Often","Fast","Yes"
"2020/08/08 5:39:47 PM GMT+5","18-24","Often","Often","Yes","Always","Eset Nod32","Yes"
"2020/08/08 5:40:32 PM GMT+5","Above 40","Never","Never","No","Always","Binod","Yes"
"2020/08/08 5:58:02 PM GMT+5","18-24","Always","Often","Yes","Always","avast antivirus ","Yes"
"2020/08/08 6:06:57 PM GMT+5","18-24","Often","Often","Yes","Always","Avast ","Yes"
"2020/08/08 6:55:32 PM GMT+5","18-24","Always","Often","No","Always","Avast anti virus","Yes"
"2020/08/08 7:45:42 PM GMT+5","25-40","Always","Always","No","Often","Avaste","Yes"
"2020/08/08 8:05:35 PM GMT+5","18-24","Often","Often","Yes","Always","Avast","Yes"
"2020/08/08 8:30:17 PM GMT+5","Above 40","Often","Often","May Be","Always","Iski topi uske Sir","No"
"2020/08/08 9:58:25 PM GMT+5","18-24","Often","Often","May Be","Always","Windows Defender","Yes"
"2020/08/09 1:12:05 PM GMT+5","18-24","Often","Often","May Be","Always","Avast antivirus","Yes"
"2020/08/09 1:13:29 PM GMT+5","18-24","Often","Often","No","Never","Avast","Yes"
"2020/08/09 1:20:54 PM GMT+5","18-24","Often","Often","May Be","Always","Avast Antivirus","Yes"
"2020/08/09 1:26:26 PM GMT+5","25-40","Never","Never","Yes","Always","Am hacker I don’t keep malware anti-virus","Yes"
"2020/08/09 1:55:00 PM GMT+5","18-24","Often","Always","No","Always","I can’t remember ","Yes"
"2020/08/09 2:02:56 PM GMT+5","18-24","Always","Often","No","Always","Avast anti-virus","No"
"2020/08/09 2:13:13 PM GMT+5","18-24","Often","Often","Yes","Always","Panda","Yes"
"2020/08/09 3:02:45 PM GMT+5","18-24","Always","Always","May Be","Always","Window 10 have own their anti-virus","Yes"
"2020/08/09 3:36:04 PM GMT+5","18-24","Often","Often","No","Never","SmadAV","No"
"2020/08/09 6:52:43 PM GMT+5","18-24","Never","Never","May Be","Always","Avast","Yes"
"2020/08/09 8:08:18 PM GMT+5","18-24","Never","Often","Yes","Always","Koi b ni","No"
